Coyrle Sodjeh,A farther Instruction
Son leid as ter ny risagh yn Credjue Creestee.,For such as have learned the Church-Catechism.
"Ta currym aym mee hene y yanoo arloo, dy ghol fo laue Aspick ; ta mee gearee’n cooney eavish dy vod fys ve aym cre ta mee gol mish as cre ta er ny hirrey orrym?","Having Notice to prepare my self for Confirmation, I beg your Assistance, that I may know what I am going about, and what is expected from me?"
"Nee’m shen dy harryltagh as my tow dy jarroo shirrey dt’annym y hau-ail, ynsym oo ayns aght cha ashagh dy ve toiggit nagh lias dhyt cherraghtyn son laccal tushtey.","I will gladly assist you ; and, if indeed you desire to save your Soul, I will instruct you after so plain a Manner, that you need not perish for want of Knowledge."
"Guee ym erriu eisht, insh jee dou cre’n fa ta mee er m’eamagh dy ghol fo laue Aspick?","I pray then let me know, why I am called to Confirmation?"
"Dy vod fys ve ec yn Aglish dy vel oo dy Chreestee liorish dy reih hene, as cha nee ny lomarcan son dy rug oo ayns cheer Chreestee.","That the Church may be satisfied you are a Christian out of Choice, and not only because you was born in a Christian country."
Cre’n fa shegin fys ve ec yn Aglish er shoh ?,Why must the Church be satisfied of this?
"Son dy vel yn Aglish sheshaght dy phersoonyn goal rish dy ve beaghey ayns aggle Yee, as jeaghyn son briwnyssyn Yee my ta veg jeh’n cheshaght cheddyn beaghey fegooish biallys y choyrt gys e Leihaghyn as adsyn gyn oghsyn y chur daue.","Because the Church is a Society of Persons professing to live in the Fear of God, and expecting God’s Judgments, if any of their Body do live in an open Defiance of his Laws, without Rebuke."
"As shen-y-fa son shickerys share ta dagh Olt jeh’n cheshaght soilshagh magh dy vel ad kairit dy veaghey cordail rish Sushtal Chreest, yn leigh t’ad dy ve reilt liorish.","And therefore, for better Security, all its Members are openly to declare their full Purpose of Living as becometh the Gospel of Christ, which is the Law they are to be governed by."
"Vel vondeish erbee sodjeh oddym jeaghyn er y hon, liorish gol fo laue Aspick?","Is there any farther Benefit that I may hope for, by going to be Confirmed?"
"Ta veih’n tra shen foddee oo treshteil dy bishee Jee e ghrayse aynyd dy chooilley laa, my hirrys oo eh lesh dty chree. Son t’an [sic] Aspick, marish ta laue Yee ayns ooilley ny te dy yanoo ayns ennym Chreest goal padjer er dy hon as liorish e laue y chur ort te shickeragh dhyt dy vou foar as aigney mie Yee.","Yes ; you may expect, from that time, that God will daily increase his Graces in you, if you heartily desire them : For the Bishop, with whom is the hand of God in all that he doth in the name of Christ, prayeth for you ; and by laying his Hand upon you, doth certifie you of God’s Favour and good Will towards you."
"As eisht, my ta fys ayd, dy vel y cliaghtey crauee shoh. Gol fo laue Aspick er jeet veih Ostylyn Yeesey Creest, bee resoon ayd dy hreshteil son ymmodee foas veih ; as dy ve meerioosagh jeh, raad oddys eh v’er ny gheddyn ta shen soi-agh beg jeh myghyn as foar Yee.","And then if you know that this solemn way of laying on of hands, was from the Apostles of Jesus Christ, you will have Reason to hope for much Good from it ; and to neglect it, where it may be had, is to despise God’s Mercy and Favours."
"Ballym eisht mee hene y yanoo arloo son gol fo laue Aspick, cha nee ny lomarcan son dy vel yn Aglish dy harey eh, agh son dy bee eh vondeishagh dou shoh y yanoo.","I would therefore prepare my self for Confirmation, not only because the Church requires it, but because it will be my Advantage to do so."
"Bee eh dy jarroo, son y Credjue Creestee tow gol dy ghoal ort yn yn¹ red oddys oo y yanoo ashagh ayns shoh as sauchey ny yei shoh.","It will most certainly : for the Christian Profession, which you are going to take upon you, is the only Thing which can make you easie here, and safe hereafter."
"Son te gynsagh dooin ga dy vel shin nyn Greturyn treith², peccoil as fegooish cooney, ga dy vel ain Noidjin ymmodee as niartal, ny yei liorish foar Yee ; foddee mad ve sauchey as bannit.","For it teacheth us, that tho’ we are miserable, sinful, Helpless Creatures, tho’ we have many and Powerful Enemies ; yet by the Favour of God, we may be Safe and Happy."
"Ta shin gynsagh liorish, dy vel Jee shirrey nyn maynrys, as dy vod e ny smoo y yanoo er nyn son ny oddys shin hene y hirrey ny smooinaghtyn.","For by it we learn, that God desireth our Welfare, and that he is able to do for us more than we can ask or think."
"Te gynsagh dooin cre’n chirveish ta Jee dy hirrey orryn, cre’n aght oddys shin nyn shee y yanoo rish, tra ta shin liorish nyn beccaghyn er chur jummoose er ; Cre cha dangeragh as ta bea vee-rioosagh. As cre’n vaynrys ver Jee dave-syn ta gys y tushtey share oc dy hirveish e.","It teacheth us what Service God requires of us ; how we may make our Peace, when we have offended him by our Sins ; how Dangerous it is to lead a careless Life ; and how happy God will make all such as serve him to the best of their Knowledge."
"Dy jarroo tra ta mee cur tastey dy vel dy chooilley Chreestee er yialdyn shoh y yanoo as ny yei dy jark ta smooinaght er, cre shegin cheet ny lurg shoh cha nodym ve agh imneagh er aggle dy naasym cha meerioosagh as feallagh elley?","Indeed, when I consider that all Christians have promised to do this, and yet too few do ever think of what must come hereafter, I cannot but be afraid for my self, least I should grow as careless as many others?"
Er yn oyr shoh tow nish er dt’eam dy akin gou dy sheelt as laue Jee y hirveish.,"It is for this Reason you are now called upon, to see whether you will take up a sober Resolution of serving God."
"As dy vod shoh greme y ghoal ort smooinee dy dowin, dy negin dooin ooilley shassoo kiongoyrt rish stole-briwnys Chreest, naght myr tow er chur shaghey yn Vea yare, mie ny saih, myr shen vees oo ayns maynrys ny trimshey son dy bra.","And to make you concerned in this Matter, consider seriously, That we must all appear before the judgment seat of Christ. That as you spend this short Life well or ill, you must be happy or miserable for ever."
Liasagh shoh cur er fer smooinaght er hene dy jarroo as shen-y-fa gueeym erriu toiggal y chur dou jeh’n stayd ta mee ayn?,"This should make one serious indeed ; and, therefore I do entreat you to give me a true account of my Condition?"
Toig shoh eisht dy vel oo dy chreture arloo dy hutchim fo peccah as mee-gherjagh.,"Understand, then, that you are a Creature subject to sin and to misery."
Dy lig Jee dhyt ve er dy vreh ayns y stayd shoh dy vaikagh oo cre cha treih as ta eshyn nee e Yee y hregeil.,"That God has permitted you to be born in this Condition, that you may see the sad Effects of forsaking him."
"As son chooish as dy vel oo roa annoon dy chooney liat hene, dy vod oo dy bragh ve kainlt dy yeaghyn seose huggey son y cooney yiall e dhyt ayns dty chonnaant Bashtey.","And that finding you are unable to Help your self, you may ever be obliged to look up unto him for Help, which, at your Baptism, he hath Covenanted to give you."
"Nish dy phroual oo, jean oo dy jarroo treshteil dy kinjagh ayns Jee, te er liggey da’n Drough-spyrrid oo y violagh, ta shen dy ghra, dy yanoo ny oddys e dy hayrn oo veih dty churrym.","Now to prove you, whether you will, indeed, live in a constant Dependance upon God, he hath permitted the Devil to tempt you, that is, to endeavour to draw you from your Duty."
"Agh ec y tra cheddyn ta’n gialdyn firrinagh shoh ayd veih Jee dy bee’n Spyrryd mie echyssyn dy bragh mart, d’endeil as dy niartagh oo ; Er connaant dy shir oo huggey, dy der oo dty slane treshteil ayn as nagh der oo corree er lesh bea vee chrauee.","But, at the same time, you have this faithful Promise, that his good Spirit shall ever be with you, to defend and Strengthen you, provided you seek to him, put your whole Trust in him, and do not grieve him by a wicked Life."
"Dy ghrennagh oo dy hirveish Jee, red erbee mie tow dy yanoo liorish y chooney echey, eeckee eshyn e dy graysoil myr dy beagh oo hene dy lomarcan er nianoo eh.","To encourage you to serve God, whatever good thing you do by his Assistance, he will graciously reward it as if it were done by your self only."
"Agh my hoy-ys oo beg jeh cooney Yee as treshteil gys dty cheal as niart hene nee oo tutchim ayns drough vea, treigee Spyrryd mie Yee oo, as bee oo eisht er dy reill liorish drough spyrrydyn as er dy yanoo feer treih.","But if you shall despise God’s Assistance, and, trusting to your own Reason and Strength, fall into a wicked Life, the good Spirit of God will forsake you, and you will then be governed by evil Spirits, and be made very miserable."
