"Nish Uss, chooin lhiam dy ghoaill lheid y jurnah¹","Now You, who helped me make that journey"
"trooid rheam y vaynrys villish, farraght bra,","through the realm of sweet, everlasting joy,"
"as leeid mee neose reesht, liastey dy hyndaa,","and who led me back down again, loth to return,"
"trooid dt’ obbyr yindyssagh, jeant ayns shey laa;","through your wonderful work, made in six days;"
"O cooin lhiam nish, dy voddym coontey ’choyrt","O help me now, so I can give an account"
jeh yindyssyn mooar ren er ny shey laa geiyrt.,of great wonders that followed on from the six days.
Gys nish londeyr v’aym dy leeideil my chass,Until now I had a lantern to guide my steps
"ayns troailt yn rheam ta heose, yn rheam ta wass.","in traversing the realm above, and the realm down here."
"Insh dou kys loayrym nish jeh’n rheam ta heese,","Tell me how I may now speak of the realm below,"
fo pooar y Drogh Sp’ryd as dagh mee-chraueeys.,under the power of the Devil and every abomination.
"Ass y dowin wooar tra chie ny seihill er goaill,","When the worlds were taken from the abyss,"
cha nee mooarane jeh’n rooym v’ayn ren eh ’choayl.,it is not a lot of the space in it that the abyss lost.
Dy baillish Jee foast millaghyn dy heihill,"If it pleased God still to create millions of worlds,"
"y chroo, cha jinnagh rooym ayn daue fajeil.",the space available there for them would not be insufficient.
"Son mooar ’skyn nyn dushtey ta’n folmid feayn,","For great beyond our knowing is the vast void,"
"myr fegooish toshiaght te, as fegooish kione.","as it is without beginning, and without end."
"Ny seihill mooar chie ’r goaill ass, ga t’ad whoilleen,","The great worlds that were taken out, many as they are,"
"soylit gys shoh, cha vel agh myr brinneen","compared to this, are as no more than an atom."
"She aggle loayrt jeh, atchim smooinaght er.","It is dread to speak of it, terror to think of it."
"Oyr t’ain v’er-creau, e ghooghys ’chur-my-ner.",We have cause to tremble contemplating its nature.
"Ta’n dowin gyn grunt, ard te neesht gyn baare;","The depth is bottomless, the height, topless;"
"liauyr fegooish kione, as fegooish mean as oirr.","endless length, and without centre or edge."
Dowin gyn grunt! O caid te roshtyn sheese?,Bottomless depth! O how far does it reach down?
Ard fegooish eaghtyr! caid te sheeyney seose?,High without surface! How far does it stretch up?
Liauyr as gyn kione! O caid [ta] Sheear ass Shar?,Long and endless! O how far is West from East?
Lhean fegooish cagliagh! c’raad yiow mayd yn oirr?,Limitless breadth! Where will we find the edge?
Cha vod yn Ynsagh soylagh ’gheddyn da,Scripture cannot find any comparison for it
agh y vea veayn shen t’er ny enmys Bra.,except that everlasting life that is named eternity.
"Dorghys ta reill ayn, son cha vod yn Ghrian,","Darkness reigns there, for the Sun, Moon or stars"
"Eayst, ny roltageyn roshtyn lesh soilshean.",cannot reach it with light.
Maskey dagh gioot dy stow Jee er ny seihill,Amongst all the gifts God bestowed upon the worlds
she’n soiljey smoo ta freayll ad veih misreill.,it is light that most keeps them from disorder.
"Eisht rheam wooar y dowin, feme y bannaght shen,","Then the great realm of the abyss, lacking that blessing,"
"shegin ve feer agglagh, quaagh, grou, as neu-ghlen.","must be very fearsome, alien, gloomy, and horrid."
"Choud as ta’n soiljey roshtyn trooid y dowin,","As far as the light reaches through the abyss,"
choud shen smoo maynrys t’ec ny bioee t’ayn.,"so far, at most, the living things there have joy."
"Shen gaase gyn bree, as falleays hene fajeil,","That light growing feeble, and the last glimmer itself failing,"
ta pooar y dorghys ayns y fooillagh reill.,the power of darkness reigns in the remainder.
Cre ta ayn mârish? Nar row fys ain choiee,What more is there in addition? May we never know
agh wheesh as t’ain veih scriptyr cash’rick Yee!,any more than we know from God’s holy scripture!
"Ta’n Goo ginsh dooin jeh’n dorghys sodjey magh,","The Word tells us of outer darkness,"
"jeh ooig gyn grunt, as pian gyn aash dy bragh,","of a bottomless pit, and incessant punishment forever,"
"jeh aile gyn vooghey, beishteig kinjagh bio,","of a fire that never goes out, of an ever-living worm,"
"jeh ster’m, dorrin as brimstone lheit heese fo.","of storm, tempest and molten brimstone down below."
Quoi smooinys nagh nee shoh’n rheam kiarit va,Who will think that this is not the realm that was designed
cowir ny drogh-yantee jannoo pannys bra?,for the evil-doers to do eternal penance?
"Jeh’n irree-magh keoi shen va oï mac Yee,","If that mad rebellion against the son of God,"
"hug oyr cah dowil ve fud ny flaunyssee,","that caused savage battle among the dwellers of Heaven,"
"ren shiu lhaih roïe, as kys ve cashtit neesht.",you have read before; and how it was defeated too.
"Tra honnick Satan e phooar ooilley brisht,","When Satan saw all his power routed,"
"eh hene ’s e heshaght eebyrit ass Niau,","himself and his company expelled from Heaven,"
