Yn Fer-raauee Creestee,The Christian Monitor
"Dy jinnin y co-solagh y yannoo eddyr dooinney sheelt as dooinney meshtal, quoi jeu ta shiu smooinaghtyn ta’n chooid share echey ’sy vea shoh?","If I should make the Comparison only betwixt a sober Man and a Drunkard, which do you think has the better of it in this Life?"
"cre cha mennick as ta ny Iuderyn mooarey cha nee ynrycan stroie ny baljyn oc, agh stroie nyn slaynt, gannooinaghey nyn geeal, as giarey nyn seihll?","How often do the great Drinkers not only waste their Estates, but destroy their Health, weaken their Brains, and shorten their Lives?"
"cre cha mennick as t’ad taghyrt dy huittym magh rish sleih, geddyn lottyn as brooghyn, as ny cheayrtyn y baase hene, edyr liorish geealley, er nonney taghyrt ny taghyrt ennagh olk?","How often do they fall into Quarrels, get Wounds and Bruises, and sometimes Death itself, either by Fighting, or by one sad Accident or other?"
"Ny cheayrtyn ta’n chloan hene ayns ny straadjin roih geiyrt orroo, gyllagh as jannoo gamman jeu; as my eiyrys shiu orroo gys ny thieyn oc hene, cre’n boirey as yn olk t’ad jannoo ayns shen?","Sometimes the very Children in the Street run after them, shouting and making Sport with them; and if you follow them to their own Homes, what disturbance and mischief do they make there?"
"cre’n loo as gueeaghyn, cre’n yllagh as y troiddey, cre’n tuittym-magh as yn nyeealley t’ayns shen; cre’n eamagh as y dobberan ta Ben as Cloan dy yannoo, ta nish foddee booiagh dy liooar dy chosney ass y raad son aggle jeh nyn mioys, myr v’ad roie nyn soie goll-mou son laccal yn argid shen ta ny Fir-hie olk shoh dy yummal ayns y Thie-lhionney?","What Swearing and Cursing, what Brawling and Scolding, what Quarrelling and Fighting is there; what Outcries and Lamentations do Wife and Children make, who now perhaps are glad to get away for Fear of their Lives, as before they sat starving for Want of that Money which these ill Husbands waste in the Alehouse."
(Peccah as Nearey eh dauesyn ta goaill roo!),(A Sin and Shame it is to those that entertain them!)
"As lurg daue v’er veaghey tammylt ayns yn aght keoie as mee-chrauee shoh, yn chied skeeal ta dy mennick jeu, dy vel ad, edyr son feaghyn ny mee-reilltys, er nyn goyrt seose ayns Pryssoon, as ny cheayrtyn liorish y sleih shen hene ayns ny thieyn oc t’ad er n’iu er sooyl ooilley ny v’ock.","And after they have lived a while at this wild and wicked Rate, the next News commonly is, that either for Debt or for Disorder they are laid up in Prison, and sometimes by those very People in whose Houses they drank away all they got."
"As nish t’ad eignit dy veaghey er arran as ushtey, as ny veggan as ny veggan dy chaeu bea hrimshagh accryssagh, ayns Dhungeon feoyr breïn, derrey nee edyr giastylys caarjin, n’yn baase hene, ad y eaysley ass.","And now they are forced to live upon Bread and Water, and linger out a miserable hungry Life in a cold stinking Dungeon, till either the Charity of Friends, or Death itself, release them thence."
"As nish gow-jee tastey, vel shoh leid y vea eunyssagh shen, dy vel eh feeu dy ve deyrit er y hon ayns torchagh niurin son dy bragh?","And by the Way is this such a pleasant Life, that it is worth being damned for in Hell Torments to all Eternity?"
Mychione shoh loar-ym ny lurg shoh.,Of which afterwards.
