Filename,Speaker,Manx,English
juan 01,Juan Crellin,T’eh gobbraghey nish whooinney ...kys t’ou ansherbee?,It’s working now yessir...how are you anyway?
juan 01,Juan Crellin,Cha nel mee ro-olk,I’m not too bad
juan 01,Juan Crellin,S’mie shen,That’s good
juan 01,Juan Crellin,Va mee lane çhing bunnys daa vee er dy henney. (row?) Va mish as my ven nyn lhie rish bunnys shiaghtin; agh ta shin couyral nish. (s’mie shen)Bwooise da Jee. (beggan ny share nish ansherbee) Va doghan goll mygeayrt er y twoaie,I was terribly ill nearly two months ago (Were you?) I and my wife were in bed for nearly a week; but we have recovered now. (That’s good). Thanks to God. (a little better anyway) There was a bug going around the north.
juan 01,Juan Crellin,Vel?,Is there?
juan 01,Juan Crellin,Nagh row yn red shen er y jiass?,Wasn’t the same thing in the south?
juan 01,Juan Crellin,Cha nel ayns sy jiass whooinney.... ta reddyn slane yindyssagh ayns y jiass; ta reddyn beggan anchasley ayns y twoaie ta mee clashtyn,Not in the south yessir...things are really wonderful in the south; things area a little different in the north I hear.
juan 01,Juan Crellin,Ram reddyn anchaslys rish y twoaie. Cha nel ad gollrish ayns shoh whooinney... ta shiuish sleih elley er y jiass,Loads of different things in the north. They are not like you lot here yessir...you are other people in the south.
juan 01,Juan Crellin,Ta fys aym,I know
juan 01,Juan Crellin,As Kuse dy vleeantyn er dy henney va ram caggey ayn eddyr ain hene – eddyr y jiass as y twoaie,And several years ago there was a lot of wars between us...between the south and the north
juan 01,Juan Crellin,Bwooise da Jee nagh vel yn lheid goll er y laa t’ayn nish,Thanks be to God that the like isn’t happening today now
juan 01,Juan Crellin,Cha nel eh ro olk nish,It’s not too bad now.
juan 01,Juan Crellin,Ta mee clashtyn dy vel slieh giu ushtey quaagh sy twoaie,I hear that people drink strange water in the north
juan 01,Juan Crellin,Quaagh agglagh as mish nyn mast’eu,Very strange water and me amongst them
juan 01,Juan Crellin,Vel?,Yes?
juan 01,Juan Crellin,My ta shiu shirrey er coloayrtys cha bee agh boghtynid ry gheddyn voym’s,If you are after me for some conversation it will only be rubbish that you get from me
juan 01,Juan Crellin,Ta fys aym. My ta mee shirrey red ennagh jeh scansh ta mee loayrt rish sleih sy jiass agh my ta mee shirrey boghtynid ta mee çheet dys yn twoaie,I know. If I am after something of importance I speak to people in the south but if it’s rubbish I’m after I come to the north
juan 01,Juan Crellin,Er y twoaie...shen eh,On the north...that’s it
juan 01,Juan Crellin,Vel shen yn red ry-yannoo?,Is that the thing to do?
juan 01,Juan Crellin,Cha nel yn ‘irrinys ry-gheddyn er y twoaie,Truth isn’t to be had in the north
juan 01,Juan Crellin,Nagh vel?,Isn’t there?
juan 01,Juan Crellin,Cha nel eh gollrish Radio Vannin,It’s not like Manx Radio
juan 01,Juan Crellin,Cha nel,No
juan 01,Juan Crellin,Ta’n irrinys ayns shen,The truth is there
juan 01,Juan Crellin,Ooilley sleih ass nyn ging ayns yn twoaie,All people out of their minds in the north
juan 01,Juan Crellin,"Oh dy jarroo...as my t’ad gra hig emshyr feer vie ayns radio Vannin, well hig ee",Oh indeed...and if they say on Manx Radio that there will be good weather in then it will come
juan 01,Juan Crellin,S’mie shen,That’s good
juan 01,Juan Crellin,She laa braew grianagh t’ayn jiu ayns yn twoaie agh ayns y jiass t’eh ceau fliaghey. (shen eh) Vel eh dy kinjagh myr shoh ayns y twoaie?,It’s a fine day in the north today but in the south it’s raining. (that’s it)
juan 01,Juan Crellin,"dy kinjagh whooinney... cha nel red erbee olk er y twoaie. (shen yindyssagh) cho leah as ta shiu cosney çheu-sthie jeh yn awin ta shiu ayns çheer er-lheh, dy bollagh",O indeed yessir...things are not bad in the north. (that’s wonderful) As soon as you get outside the river you are in a completely different/ special country
juan 01,Juan Crellin,Smooinnee mee dy row,I thought as much
juan 01,Juan Crellin,Ta’n sleih...sleih er-lheh chammah as dy chooilley nhee elley. T’ad.,The people...special people as well as everything else. They are.
juan 01,Juan Crellin,Ta blass quaagh er y twoaie,There is a strange accent in the North.
juan 01,Juan Crellin,Vel?,Is there?
juan 01,Juan Crellin,Ta ta,"Yes, yes"
juan 01,Juan Crellin,Blass quaagh ayns Gaelg,Strange accent in Manx.
juan 01,Juan Crellin,Ayns Gaelg... Ta shin gra ‘kione’ cha nel shin gra ‘kiodn’ ny reddyn myr shen,In Manx...we say ‘Head’ we don’t say ‘head’ or things like that
juan 01,Juan Crellin,As ‘braew’ cha nel... ta shin...gra ‘braew’,And ‘braew’ we don’t...we say...saying ‘braew’
juan 01,Juan Crellin,Ta dagh ooilley nhee myr shen,Everything is like that
juan 01,Juan Crellin,Oie vie... C’red t’ou gra son ‘oie vie’?,Good night...what do you say for ‘good night’
juan 01,Juan Crellin,‘Oie vie er y twoaie’ As ta shin gra ‘fuygh’ son ‘fuygh’ (vel?) as reddyn myr shen,‘Oie vie’ in the north And we say ‘wood’ son ‘wood’ (Do you?) and things like that
juan 01,Juan Crellin,"As va Leslie jannoo spotçhyn. Haink eshyn ass y jiass, ass Purt ny h-Inshey dy ve firrinagh","And Leslie was doing jokes. He came from the south, out of Peel to be true"
juan 01,Juan Crellin,V’eh loayrt rish ‘ooh’ son ‘ooh’,He was saying ‘egg’ for ‘egg’
juan 01,Juan Crellin,Va shin gee ‘oohyn’ son nyn anjeeal as va Leslie gee ‘oohyn’,We were saying ‘eggs’ for our breakfast and Leslie was saying ‘eggs’
juan 01,Juan Crellin,Ec y jerrey v’eh cliaghtit rish ny fir ayns shoh as v’eh gra ‘Shegin dou geddyn ‘ooh’ son my anjeeal’,At the end he was used to those here and he was saying ‘I have to get ‘eggs’ for my breakfast’
juan 01,Juan Crellin,Haink eh dy bee lane twoaieagh,He came to be a real northerner
juan 01,Juan Crellin,Vel blass sy twoaie...vel shen bit beg ny share na blass ry gheddyn ayns sy jiass?,Is the accent of the north...is it a little better than the accent to be got in the jiass?
juan 01,Juan Crellin,"Well paart dy lheih gra myr shen as paart jeusyn ass y jiass, t’ad gra ny smessey er y twoaie","Well some people say that it is and some of them from the south, they say that it’s worse on the north"
juan 01,Juan Crellin,Vel ?,Do they?
juan 01,Juan Crellin,Agh er my hon hene ta blass twoaie ny share foddey na blass er y jiass,But for myself the accent of the north is far better than that from the south
juan 01,Juan Crellin,Foddee dy vel oo kiart,"Perhaps, you’re right"
juan 02,Juan Crellin,Cre voish hooar oo yn Ghaelg ansherbee?...quoi voish hooar oo yn Ghaelg? ...(c’raad v’ou gynsaghey?),Where did you get the Manx from anyway? From who did you get the Manx? (Where were you learning...?)
juan 02,Juan Crellin,"Ny fir share, foddee slieh gollrish yn Gaaue (yn Ghaaue, s’mie shen). Va mee cur shilley er y ghaaue nish as reesht marish Illiam pat y Radlagh","The best ones, perhaps people like Yn Gaaue (Yn Gaaue, that’s good). I was visiting the Gaaue now and again with Bill Radcliffe."
juan 02,Juan Crellin,Va mee er y keayn rish bleeantyn as tra haink mee erash lurg yn chaggey va brastylyn goll er,I was on sea for years and when I came back after the war there were classes going on in
juan 02,Juan Crellin,"Rhumsaa as kuse dy sleih ayn; sleih gollrish Illiam Pat y Radlagh, Charles Mooar y Craine ass y Vank","Ramsey and a few people there; people like Bill Radcliffe, Big Charles Craine from the bank"
juan 02,Juan Crellin,"Juan MacVarkish, Walter y Cleree as ram stoo myr shen. As nish as reesht va mee çheet erash dys Mannin er my laghyn seyrey","John Corkish, Walter Clarke and lots of stuff like that. And now and again I was coming back to Mannin on my holidays"
juan 02,Juan Crellin,"as va mee goll stiagh ayns ny brastyl dy ‘eaishtagh rish ooilley yn chooish as va mee jannoo ram obbyr my lomarcan,","I was going to classes to listen to all the talk and I was doing loads of work myself,"
juan 02,Juan Crellin,as eer tra va me my phaitchyn goll mygeayrt er y twoaie va beggan dy Ghaelg goll er loayrt ...chooid smoo jeu jus ennym jeh reddyn va goll er loayrt,and even when I was a child going around on the north there was a little Manx being spoken...the most part of it just names of things that were spoken
juan 02,Juan Crellin,"dy cadjin, gollrish bangan, shibbyraghyn as reddyn myr shen, ushtey, voish yn shenn sleih","normally, like bough, suppers and things like that, water, from the old people."
juan 02,Juan Crellin,"Agh ghow mee tastey jeu...as va paart dy lioaryn Gaelgagh ayns yn thie ayms, shenn Vibleyn as y lhied","But I took notice of them...and there were some Manx books in my house, old Bibles and the like"
juan 02,Juan Crellin,"as haink eh dy ve sym mooar orrym orroo, as ren mee my chooid share dy ynsaghey y grammar as dy lhaih assdaue","and I became really interested in them, and I did my best to learn the grammar and to read out of them"
juan 02,Juan Crellin,...shen yn oyr dy row mee gynsaghey as va ram enmyn buill ayn ass y Ghaelg as va sym mooar ayms orroosyn,"...that’s the reason that I was learning, and there were loads of place names in Manx and I had great interest in them"
juan 02,Juan Crellin,as haink dagh ooilley nhee dy ve sneeuit cooidjagh whooinney as...ny s’ beggan as ny s’ beggan,and everything came to be spun together yessir and... little by little
juan 02,Juan Crellin,haink ee rhym as ta beggan ayms nish... ga nagh vel caa ayms dy loayrt rish monney dy leih as Gaelg oc,I got it and there is a little at me yet...even if I don’t have the opportunity to speak to many people who have Manx
juan 02,Juan Crellin,agh cha nel ny fir aeg as sym oc nish myr v’ad roie.,but the young ones don’t have as much interest in it as they once did.
juan 02,Juan Crellin,Agh s’ quaagh eh dy vel ram Sostnee ec y çheer nish as ta sym ocsyn er y Ghaelg ga nagh vel caa oc d’ynsaghey ee,But it’s strange that there are many English people in the country now and they have an interest in the Manx even if they don’t have an opportunity to learn it
juan 02,Juan Crellin,Eer jus kuse dy shiaghteeyn er dy henney v’ad cur uinnag vooar ayns y cheeill ayns shoh (Keeill Yude) as va’n ard-jaghin ayn dy chummal y shirveish dy cur moylley jee,Even just a couple of weeks ago they were putting a large window in the church here (St Judes) and the archdeacon was holding the service of praise
