Filename,Manx,English
DQ_01,"Row oo er yn cheayn jiu, ghooinney?","Were you on the sea today, man?"
DQ_01,"Well, va shinyn, my vac as mee hene. Va shin ooilley mygeayrt yn Cholloo as mygeayrt Purt Çhiarn, derrey mysh tree er y chlag syn astyr va shen. V'eh feer heh sy vaatey jiu.","Well, we were, my son and myself. We were all around the Calf and around Port Erin, until about three o'clock in the afternoon, that was. It was very hot in the boat today."
DQ_01,Foddym toiggal shen.,I can understand that.
DQ_01,Cha row geay ayn as v'eh feer feer heh.,"There was no wind and it was very, very hot."
DQ_01,Cre'n traa hie oo magh? Sy voghrey? Ren oo goll magh sy voghrey?,What time did you go out? In the morning? Did you go out in the morning?
DQ_01,"Sy voghrey, yeah.","In the morning, yeah."
DQ_01,As c'raad ta'n baatey ayd? Vel eh ayns Purt hiarn ny Purt le Moirrey?,And where is your boat? Is it in Port Erin or Port St. Mary?
DQ_01,"Ayns Purt Çhiarn, ayns shoh. Ta mee kinjagh freayll yn baatey ainyn- ta mee er freayll ram jeu as v'ad ooilley freayllt ayns Purt Çhiarn, cha nel ayns Purt le Moirrey. Ta ram birling as y lhied ayns Purt le Moirrey. T'eh feer doillee geddyn magh as geddyn stiagh ayns y purt shen. Ayns Purt Çhiarn t'eh kiart dy liooar.","In Port Erin, here. I always keep our boat - I've kept lots of them and they were all kept in Port Erin, not in Port St. Mary. There are lots of yachts and such in Port St. Mary. It's very difficult to get in and out of that port. In Port Erin it's alright."
DQ_01,So cre hooar oo jiu? Just gimmee?,So what did you get today? Just lobsters?
DQ_01,"Gimmee, aye. As kuse dy phartanyn. Cha nel shin freayll ny partanyn gagh laa. Ta shin freayll kuse my row oardagh ain son kuse dy partanyn, shen ooilley. Ta shin ceau ad ersooyl. Cha nel shin marroo ad mannagh vel feme ain orroo.","Lobsters, aye. And a few crabs. We don't keep the crabs every day. We keep a few if we have an order for a few crabs, that's all. We throw them away. We don't kill them unless we need them."
