Filename,Speaker,Manx,English
juan 01.wav,,T’eh gobbraghey nish whooinney ...kys t’ou ansherbee?,It’s working now yessir...how are you anyway?
juan 01.wav,,Cha nel mee ro-olk,I’m not too bad
juan 01.wav,,S’mie shen,That’s good
juan 01.wav,,Va mee lane çhing bunnys daa vee er dy henney. (row?) Va mish as my ven nyn lhie rish bunnys shiaghtin; agh ta shin couyral nish. (s’mie shen)Bwooise da Jee. (beggan ny share nish ansherbee) Va doghan goll mygeayrt er y twoaie,I was terribly ill nearly two months ago (Were you?) I and my wife were in bed for nearly a week; but we have recovered now. (That’s good). Thanks to God. (a little better anyway) There was a bug going around the north.
juan 01.wav,,Vel?,Is there?
juan 01.wav,,Nagh row yn red shen er y jiass?,Wasn’t the same thing in the south?
juan 01.wav,,Cha nel ayns sy jiass whooinney.... ta reddyn slane yindyssagh ayns y jiass; ta reddyn beggan anchasley ayns y twoaie ta mee clashtyn,Not in the south yessir...things are really wonderful in the south; things area a little different in the north I hear.
juan 01.wav,,Ram reddyn anchaslys rish y twoaie. Cha nel ad gollrish ayns shoh whooinney... ta shiuish sleih elley er y jiass,Loads of different things in the north. They are not like you lot here yessir...you are other people in the south.
juan 01.wav,,Ta fys aym,I know
juan 01.wav,,As Kuse dy vleeantyn er dy henney va ram caggey ayn eddyr ain hene – eddyr y jiass as y twoaie,And several years ago there was a lot of wars between us...between the south and the north
juan 01.wav,,Bwooise da Jee nagh vel yn lheid goll er y laa t’ayn nish,Thanks be to God that the like isn’t happening today now
juan 01.wav,,Cha nel eh ro olk nish,It’s not too bad now.
juan 01.wav,,Ta mee clashtyn dy vel slieh giu ushtey quaagh sy twoaie,I hear that people drink strange water in the north
juan 01.wav,,Quaagh agglagh as mish nyn mast’eu,Very strange water and me amongst them
juan 01.wav,,Vel?,Yes?
juan 01.wav,,My ta shiu shirrey er coloayrtys cha bee agh boghtynid ry gheddyn voym’s,If you are after me for some conversation it will only be rubbish that you get from me
juan 01.wav,,Ta fys aym. My ta mee shirrey red ennagh jeh scansh ta mee loayrt rish sleih sy jiass agh my ta mee shirrey boghtynid ta mee çheet dys yn twoaie,I know. If I am after something of importance I speak to people in the south but if it’s rubbish I’m after I come to the north
juan 01.wav,,Er y twoaie...shen eh,On the north...that’s it
juan 01.wav,,Vel shen yn red ry-yannoo?,Is that the thing to do?
juan 01.wav,,Cha nel yn ‘irrinys ry-gheddyn er y twoaie,Truth isn’t to be had in the north
juan 01.wav,,Nagh vel?,Isn’t there?
juan 01.wav,,Cha nel eh gollrish Radio Vannin,It’s not like Manx Radio
juan 01.wav,,Cha nel,No
juan 01.wav,,Ta’n irrinys ayns shen,The truth is there
juan 01.wav,,Ooilley sleih ass nyn ging ayns yn twoaie,All people out of their minds in the north
juan 01.wav,,"Oh dy jarroo...as my t’ad gra hig emshyr feer vie ayns radio Vannin, well hig ee",Oh indeed...and if they say on Manx Radio that there will be good weather in then it will come
juan 01.wav,,S’mie shen,That’s good
juan 01.wav,,She laa braew grianagh t’ayn jiu ayns yn twoaie agh ayns y jiass t’eh ceau fliaghey. (shen eh) Vel eh dy kinjagh myr shoh ayns y twoaie?,It’s a fine day in the north today but in the south it’s raining. (that’s it)
juan 01.wav,,"dy kinjagh whooinney... cha nel red erbee olk er y twoaie. (shen yindyssagh) cho leah as ta shiu cosney çheu-sthie jeh yn awin ta shiu ayns çheer er-lheh, dy bollagh",O indeed yessir...things are not bad in the north. (that’s wonderful) As soon as you get outside the river you are in a completely different/ special country
juan 01.wav,,Smooinnee mee dy row,I thought as much
juan 01.wav,,Ta’n sleih...sleih er-lheh chammah as dy chooilley nhee elley. T’ad.,The people...special people as well as everything else. They are.
juan 01.wav,,Ta blass quaagh er y twoaie,There is a strange accent in the North.
juan 01.wav,,Vel?,Is there?
juan 01.wav,,Ta ta,"Yes, yes"
juan 01.wav,,Blass quaagh ayns Gaelg,Strange accent in Manx.
juan 01.wav,,Ayns Gaelg... Ta shin gra ‘kione’ cha nel shin gra ‘kiodn’ ny reddyn myr shen,In Manx...we say ‘Head’ we don’t say ‘head’ or things like that
juan 01.wav,,As ‘braew’ cha nel... ta shin...gra ‘braew’,And ‘braew’ we don’t...we say...saying ‘braew’
juan 01.wav,,Ta dagh ooilley nhee myr shen,Everything is like that
juan 01.wav,,Oie vie... C’red t’ou gra son ‘oie vie’?,Good night...what do you say for ‘good night’
juan 01.wav,,‘Oie vie er y twoaie’ As ta shin gra ‘fuygh’ son ‘fuygh’ (vel?) as reddyn myr shen,‘Oie vie’ in the north And we say ‘wood’ son ‘wood’ (Do you?) and things like that
