Audio_ID,Speaker,Manx,English
Disk 1 Track 2,H. Boyde,As c’red ta shin goll dy ghra nish?,And what are we going to say now?
Disk 1 Track 2,T. Braide,Mygeayrt yn cleighyn.,About the hedges.
Disk 1 Track 2,H. Boyde,Mygeayrt yn cleighyn... va mee jannoo ram cleighyn ayns.. er..,About the hedges... I was making plenty of hedges in.. er..
Disk 1 Track 2,H. Boyde,"ooilley yn laa aym, yn traa va mee aegey, yn aegey, as","all the days at me (all my life) the time I was young, in my youth, and"
Disk 1 Track 2,H. Boyde,"cha ren mee jannoo monney cleigh er bleeaney, te bleeaney","I did not make many hedges for years, it is years"
Disk 1 Track 2,H. Boyde,er dy henney roish (neayrys) ren mee jannoo monney ayns yn cleighyn,ago before (since) I did make or do much in the hedges
Disk 1 Track 2,H. Boyde,"as ta mee son jannoo ad mie dy liooar, as ta mee geddyn,","and I was making them well enough, and I am getting,"
Disk 1 Track 2,H. Boyde,"ta mee geddyn feer shenn nish dy jannoo monney ayns yn cleighyn,","I am getting very old now to do much in the hedges,"
Disk 1 Track 2,H. Boyde,"as ta ram cleighyn jeant ec mish woish my laa aym,","and there was plenty built at me from the days at me, (in my time)"
Disk 1 Track 2,H. Boyde,"ta, ram jeu.","yes, plenty of them."
Disk 1 Track 2,T. Braide,Ren shiu troggal cleighyn marish (lesh) claghyn voish y traie?,Did you build hedges with stones from the shore?
Disk 1 Track 2,H. Boyde,"Va mee jannoo yn cleighyn lesh claghyn ass yn traie, as va",I was making the hedges with stones off the shore and I was
Disk 1 Track 2,H. Boyde,mee cur yn claghyn ayns yn... fo yn... yn reddyn lesh yn,putting the stones in the... under the... the things with the
Disk 1 Track 2,H. Boyde,reddyn elley... sods (foaid),other things... sods
Disk 1 Track 2,T. Braide,Ta mee toiggal (moain),I understand (turf)
Disk 1 Track 2,H. Boyde,Va mee cur yn soddyn (foaid) er y cleigh er mullagh yn claghyn,I was putting the sods on the hedge on top of the stones
Disk 1 Track 2,H. Boyde,"she, shen yn red va mee jannoo","it is, that’s the thing I was doing."
Disk 1 Track 2,T. Braide,Row kiebbey ayd dy jannoo eh?,Was there a spade at you to do it?
Disk 1 Track 2,H. Boyde,"Va kiebbey aym, va kiebbey mie aym, as cha row mee son gobbragh lesh,","There was a spade at me, there was a good spade at me, and I was not for working,"
Disk 1 Track 2,H. Boyde,"cha row mee son gobbragh lesh kiebbey boght,","I was not for working with a poor spade,"
Disk 1 Track 2,H. Boyde,va kiebbey mie aym dy chooilley traa va mee goll dy jannoo yn cleighyn.,there was a good spade at me all the time I was going to make the hedges.
Disk 1 Track 2,T. Braide,Vel peiagh erbee ayn elley ayn va jannoo yn cleighyn?,Was anyone else at all in who was making the hedges?
Disk 1 Track 2,H. Boyde,Aw cha row peiagh erbee marym.,Aw there was not any one at all with me.
Disk 1 Track 2,T. Braide,Va shiuish yn ynrican ’er?,Were you the only one?
Disk 1 Track 2,H. Boyde,"Va mee my lomarcan, cha row peiagh erbee marym jannoo yn cleighyn,","I was alone, there was not anyone at all with me making the hedges,"
Disk 1 Track 3,T. Braide,"Aw, shen mie.","Aw, that’s good."
Disk 1 Track 3,H. Boyde,"Va, va, va bleeaney ennagh, as va, va muckyn ain, as.. er.. v’ad","There was, there was one year and there were pigs at us, and they were"
Disk 1 Track 3,H. Boyde,"cha row monney bee goll yn blein shen, as va’n muckyn currit magh ayns yn magher","there was not much food going that year, and the pigs were put out in the field,"
Disk 1 Track 3,H. Boyde,"as.. er.. cha ren, cha row shin ayns yn magher","and.. er.. we did not, we were not in the field"
Disk 1 Track 3,H. Boyde,"as ren yn fer, fer gra, c’red ta’in goll dy jannoo lesh yn muckyn shen,","and one fellow did say, what are we going to do with these pigs,"
