Audio_ID,Speaker,Manx,English
01 Track 01 10,Juan,Kys t’ou?,How are you?
01 Track 01 10,Bob,"Ta mee braew gura mie ayd, as uss hene?","I am fine thanks, and yourself?"
01 Track 01 10,Juan,"Braew, braew","Fine, fine"
01 Track 01 10,Bob,C’raad t’ou cummal?,Where do you live?
01 Track 01 10,Juan,Ta mee cummal ayns Doolish. C’raad t’ou cummal?,I live in Douglas. Where do you live?
01 Track 01 10,Bob,Ta mee cummal ayns Purt ny h-Inshey,I live in Peel
01 Track 01 10,Juan,S’mie lhiam Purt ny h-Inshey,I like Peel
01 Track 01 10,Bob,S’mie lhiam Doolish,I like Douglas
01 Track 01 10,Juan,Vel oo shappal jiu?,Are you shopping today?
01 Track 01 10,Bob,"Ta, ta mee shappal jiu","Yes, I am shopping today"
01 Track 01 10,Juan,C’raad t’ou shappal?,Where are you shopping?
01 Track 01 10,Bob,Ta mee shappal ayns Doolish,I am shopping in Douglas
01 Track 01 10,Juan,Cha nel mee shappal jiu. Cha mie lhiam shappal,I am not shopping today. I don’t like shopping
01 Track 01 10,Bob,C’red t’ou jannoo jiu?,What are you doing today?
01 Track 01 10,Juan,Ta mee gobbraghey moghrey jiu as ta mee shooyl er y traie fastyr jiu,I am working this morning today and I am walking on the beach this afternoon
01 Track 01 10,Bob,C’raad t’ou gobbraghey?,Where are you working?
01 Track 01 10,Juan,Ta mee gobbraghey ayns Doolish,I am working in Douglas
01 Track 01 10,Bob,C’raad t’ou shooyl er y traie?,Where are you walking on the beach?
01 Track 01 10,Juan,Ta mee shooyl er y traie ayns Rhumsaa,I am walking on the beach in Ramsey
01 Track 01 10,Bob,"Ansherbee, ta mee goll dys Doolish nish","Anyway, I’m going to Douglas now"
01 Track 01 10,Juan,Mie dy liooar. Hee’m oo,Good enough. I’ll see you.
01 Track 01 10,Bob,Hee’m oo,See you
02 Track 02 9,Juan,Kys t’ou?,How are you?
02 Track 02 9,Bob,Ta mee beggan skee,I’m a little tired
02 Track 02 9,Juan,Vel oo?,Are you?
02 Track 02 9,Bob,"Ta, nagh vel oo skee?","Yes, aren’t you tired?"
02 Track 02 9,Juan,Cha nel mee skee agh ta mee tarroogh,I am not tired but I am busy
02 Track 02 9,Bob,C’raad ta Voirrey cummal nish?,Where is Voirrey living now?
02 Track 02 9,Juan,T’ee cummal ayns Doolish,She is living in Douglas
02 Track 02 9,Bob,Vel ee?,Is she?
02 Track 02 9,Juan,"Ta, t’ee cummal ayns Imman Woodburn","Yes, she is living in Woodburn Drive"
02 Track 02 9,Bob,C’raad t’ee gobbraghey?,Where is she working?
02 Track 02 9,Juan,T’ee gobbraghey ayns Straid Athol,She is working in Athol Street
02 Track 02 9,Bob,Nagh vel ee gobbraghey ec yn Thie-tashtee?,Isn’t she working at the Museum?
02 Track 02 9,Juan,"Cha nel ee, t’ee gobbraghey ayns Straid Athol nish","She isn’t, she is working in Athol Street now"
02 Track 02 9,Bob,Vel ee maynrey gobbraghey ayns Straid Athol?,Is she happy working in Athol Street?
02 Track 02 9,Juan,T’ee maynrey as t’ee maynrey cummal ayns Imman Woodburn,She is happy and she is happy living in Woodburn Drive
02 Track 02 9,Bob,Mie dy liooar. C’red t’ou jannoo jiu?,Good enough. What are you doing today?
02 Track 02 9,Juan,Cha nel mee shickyr,I’m not certain
02 Track 02 9,Bob,Nagh vel oo shappal?,Aren’t you shopping?
02 Track 02 9,Juan,Cha nel mee shappal jiu. Ta mee cur shilley er Voirrey jiu,I’m not shopping today. I am visiting Voirrey today
02 Track 02 9,Bob,Feer vie. Hee’m oo,Very good. See you
02 Track 02 9,Juan,Slane lhiat,Goodbye
03 Track 03 9,Mary,C’raad v’ou yn çhiaghtin shoh chaie?,Where were you this last week?
03 Track 03 9,Juan,Va mee ayns Doolish Jelune,I was in Douglas Monday
03 Track 03 9,Mary,C’ren fa v’ou ayns Doolish?,Why were you in Douglas?
03 Track 03 9,Juan,Va mee ec obbyr feiy’n laa. As uss c’raad v’ou Jelune?,"I was at work throughout the day. And yourself, where were you on Monday?"
03 Track 03 9,Mary,Va mee ec obbyr moghrey Jelune agh fastyr Jelune va mee ayns Rhumsaa,I was at work on Monday morning but Monday afternoon I was in Ramsey
03 Track 03 9,Juan,Mie dy liooar. Cre mychione Jemayrt? C’raad v’ou Jemayrt?,Good enough. What about Tuesday? Where were you on Tuesday?
03 Track 03 9,Mary,"Cha ren mee gobbraghey Jemayrt as Jecrean; myr shoh, va mee sthie ayns Laksaa","I didn’t work on Tuesday and Wednesday; therefore, I was at home in Laksey"
03 Track 03 9,Juan,Va mee ec obbyr Jemayrt as Jecrean agh ren mee goll dys yn thie-cloie oie Jecrean,I was at work Tuesday and Wednesday but I went to the Theatre on Wednesday night
03 Track 03 9,Mary,Row oo ec yn Gaiety ayns Doolish?,Were you at the Gaiety in Douglas?
03 Track 03 9,Juan,Cha row va mee ec yn Ynnyd Cheead Blein ayns Purt ny h-Inshey,I wasn’t. I was at the Centenary Centre in Peel
03 Track 03 9,Mary,Yindyssagh. Va mee ayns shen oie Jesarn son kiaull,Wonderful. I was there on Saturday night for music
03 Track 03 9,Juan,S’mie lhiam yn Ynnyd Cheead Blein. Cre mychione Jesarn as Jedoonee? C’raad v’ou?,I like the Centenary Centre. What about Saturday and Sunday? Where were you?
03 Track 03 9,Mary,Va mee ayns Doolish Jesarn agh Jedoonee va mee ayns Laksaa feiy’n laa. Row oo ec yn cheeill Jedoonee?,I was in Douglas on Saturday but Sunday I was in Laksey throughout the day. Were you at church on Sunday?
03 Track 03 9,Juan,Va mee. Ass uss? Row oo ec yn cheeill?,I was. And yourself? Were you at church?
03 Track 03 9,Mary,Va mee fastyr Jedoonee. Ta mee goll dys yn cheeill dagh fastyr Jedoonee mysh shey,I was on Sunday afternoon. I go to church every Sunday afternoon about six
04 Track 04 9,Bob,Vel oo goll magh monney son shooyll?,Do you go out much walking?
04 Track 04 9,Voirrey,"Ta, s’mie lhiam shooyll","Yes, I like walking"
04 Track 04 9,Bob,Craad t’ou goll shooyll?,Where do you go walking?
04 Track 04 9,Voirrey,S’mie lhiam shooyl boayl erbee ayns Mannin agh share lhiam shooyl ‘sy jiass,I like walking any place in Mannin but I prefer walking in the south
04 Track 04 9,Bob,Craad ‘sy jiass?,Where in the south?
04 Track 04 9,Voirrey,S’mie lhiam Kione Spaainagh as Langlish,I like walking at Spanish Head and at Langness
04 Track 04 9,Bob,S’mie lhiam yn jiass agh share lhiam shooyl er y twoaie,I like the south but I prefer walking on the north
04 Track 04 9,Voirrey,Craad?,Where?
04 Track 04 9,Bob,S’mie lhiam shooyl er y traie faagys da Maayl,I like walking on the beach near to Michael
04 Track 04 9,Voirrey,Ta shen yindyssagh agh er lhiam dy vel Kione Spaainagh ny share na Maayl,That’s wonderful but I reckon that Spanish Head is better than Michael
04 Track 04 9,Bob,Er-lhiam dy vel oo kiart. Cre mychione Nerin? Vel oo goll monney dys Nerin son shooyl?,I reckon that you are right. What about Ireland? Do you go much to Ireland to walk?
04 Track 04 9,Voirrey,Ta. S’mie lhiam shooyl ayns Doon ny nghoal,Yes. I like walking in Donegal
04 Track 04 9,Bob,Cha row mee rieau ayn,I was never there
04 Track 04 9,Voirrey,T’eh feeu goll. She boayl yindyssagh t’ayn,It’s worth going. It is a wonderful place
04 Track 04 9,Bob,"Ansherbee, vel oo son goll shooyl jiu?","Anyway, are you intending to go walking today?"
04 Track 04 9,Voirrey,Ta. Ta mee goll magh marish my whooinney dys Imman ny Marrey,Yes. I am going out with my man to Marine Drive
04 Track 04 9,Bob,Yindyssagh agh gow kiarail – ta ram keck moddee ayns shen,Wonderful but take care as there is plenty of dog poo there
04 Track 04 9,Voirrey,Ta fys aym agh bee eh mie dy liooar,I know but it will be fine
04 Track 04 9,Bob,Hee’m oo as slane lhiat,See you and goodbye
04 Track 04 9,Voirrey,Slane,Bye
05 Track 05 9,Illiam,"Fastyr mie, kys t’ou?","Good afternoon, how are you?"
05 Track 05 9,Juan,"Braew, braew gura mie ayd as uss hene?","Fine, fine thanks and yourself?"
