ID,Manx,English,
01,Ta mee ayns Rhumsaa jiu as she laa braew t'ayn,,
02,S'mie lhiam kay-riojey as s'mie lhiam kay-riojey shocklaid,,
03,Shoh Jishag y Nollick, This is Father Christmas,
04,Ta mee geearree ram stoo son y Nollick , I want loads of things for Christmas,
05,Nollick Ghennal , Happy Christmas,
06,Blein Vie Noa , Happy New Year,
07,"Bannaghtyn, mish Isla "," Greetings, I'm Isla",
08,"Bannaghtyn, mish Isla as ta mee braew "," Greetings, I'm Isla and I am fine ",
09,"Bannaghtyn, mish Isla as ta mee braew. kys t'ou?",,
10,"Bannaghtyn, mish Isla as ta mee braew as ta mee cummal ayns Mannin.",,
11,Craad t'ou cummal?, Where do you live?,
12,Ta mee shappal ayns Doolish. Craad t'ou shappal?,,
13,"Ta mee cummal ayns Purt ny h-Inshey, ta mee shappal ayns Doolish as ta mee loayrt Gaelg boayl erbee",,
14,Ta mee loayrt Gaelg ayns Doolish nish. C'raad t'ou loayrt Gaelg?,,
15,Ta mee er y twoaie jiu , I am in the north today,
16,Ta mee geearree goll shappal ayns Rhumsaa jiu,,
17,Ta mee geearree miljanyn nish , I want some sweets now,
18,Ta mee cummal ayns Mannin as ta Mannin yindyssagh,,
19,Ta mee maynrey cummal ayns Purt ny h-Inshey as ta mee feer vaynrey cummal ayns Mannin,,
20,Ta mee cummal ayns Purt ny h-Inshey agh ta mee shappal ayns Doolish,,
21,Mish Jenny as shoh my charrey Ali , I'm Jenny and this is my friend Ali ,
22,Ta shin ayns Purt Chiarn , We are in Port Erin ,
23,Ta mee geearree kay riojey nish , I want an ice cream now ,
24,Ta mee geearree caffee doo nish , I want a black coffee now ,
25,Ta mee goll dys Purt le Moirrey er y traen nish , I'm going to Port st Mary on the train now ,
26,Ta mee goll dys Rhumsaa nish agh cha nel mee goll er y traen,,
27,Vel oo fakin yn Moddey Doo? , Do you see the Moddey Doo? ,
28,T'eh feayr agglagh jiu , It's terribly cold today ,
29,"Craad t'ou cummal, Cesar? ", Where do you live Cesar? ,
30,"Mish Agatha, shoh James. Ta shin cummal ayns Mannin",,
31,Ta mee shappal ayns Purt Chiarn jiu , I am shopping in Port Erin today ,
32,Ta mee shappal ayns Purt Chiarn jiu as t'eh beggan tarroogh ,,
33,Shoh yn traie ayns Purt Chiarn. Nagh vel eh aalin? ,,
34,Shoh baatyn eeastee,These are fishing boats ,
35,Er-lhiam dy vel yn jiass yindyssagh,,
36,Vel eh feeu goll shappal ayns Rhumsaa?,,
37,T'ad cloie feeal , They are playing chess,
38,Cha nel eh feer tarroogh ayns Rhumsaa jiu agh t'eh tarroogh dy liooar,,
39,Vel monney sleih shappal ayns Rhumsaa jiu?,,
40,T'eh braew yindyssagh ayns Rhumsaa jiu,,
41,Ta mee ec shapp y vaatey-saualtys ayns Rhumsaa,,
42,Ta awin goll fo yn droghad,,
43,Mie lhiat Marmite? Cha mie,,
44,"Vel oo geearree Marmite nish? Cha nel, cha mie lhiam Marmite",,
45,"Mie lhiat spollagyn? Aye, s'mie lhiam spollagyn ram ",,
46,Ta ny spollagyn yindyssagh. ,,
47,Vel accrys ort? Cha nel nish ,,
48,"Vel oo geearree Marmite? Cha nel nish, gura mie ayd 150 ",,
49,"Nane, jees, tree, kiare, queig, shey, shiaght, hoght, nuy, jeih ",,
50,"Nane, jees, tree, kiare, queig, shey, shiaght, hoght, nuy, jeih, nane-jeig, daa-yeig, tree-jeig, kiare-jeig, queig-jeig, shey-jeig, shiaght-jeig, hoght-jeig, nuy-jeig, feed",,
51,"Jelune, Jemayrt, Jecrean, Jerdein, Jeheiney, Jesarn, Jedoonee ",,
52,Ta mee ec yn Cheyllys nish , I'm at the Sound now,
53,Ta mee ec yn Cheyllys nish as she laa braew t'ayn,,
54,Jiu ta mee ayns Purt Chiarn agh share lhiam Purt ny h-Inshey,,
55,Ta mee ayns Purt Chiarn agh ta mee geearree goll dys Purt ny h-Inshey,,
56,Vel Manannan cummal er Barrool Twoaie? ,,
57,"Cha nel Manannan cummal er Barrool Twoaie, t'eh cummal er Barrool Jiass ",,
58,C'raad share lhiat shappal: Purt Chiarn ny Doolish?,,
59,S'mie lhiam yn Cholloo agh cha nel mee geearree cummal ayns shen,,
60,Vel uss geearree cummal er y Cholloo?,,
61,S'mie lhiam giù bainney as gee curree , I like drinking milk and eating curry ,
62,"S'mie lhiam giu bainney, gee curree as loayrt Gaelg. Cre s'mie lhiat? ",,
63,S'mie lhiam Doolish as Purt le Moirrey. C'raad share lhiat? , ,
64,S'mie lhiam curree as bonnag agh share lhiam spollaghyn ,,
65,"S'mie lhiam curree, bonnag as spollagyn agh share lhiam Gaelg",,
66,S'mie lhiam kay riojey Vanilla er y fa dy vel eh blasstal,,
67,S'mie lhiam gee curree er y fa dy vel eh blasstal,,
68,S'mie lhiam Rhumsaa agh share lhiam Purt le Moirrey,,
69,S'mie lhiam loayrt er y çhellvane as s'mie lhiam tweetal,,
70,S'mie lhiam Creneash agh cha nel monney shappyn ayns shoh,,
71,Shoh shenn thie Harry Kelly,,
72,S'mie lhiam thie Harry Kelly agh ta mee maynrey nagh vel mee cummal ayns shen,,
73,S'mie lhiam yn traen agh share lhiam yn baatey,,
74,Cre smie lhiat jannoo ec yn jerrey-shiaghtin? ,,
75,Cre smie lhiat jannoo er y jerrey-shiaghtin? S'mie lhiam cadley,,
76,Vel Purt le Moirrey ny share na Purt ny h-Inshey? Cha nel,,
77,Vel Rhumsaa ny share na Purt le Moirrey? S'liklee dy vel eh,,
78,Vel Doolish ny smoo aalin na Purt ny h-Inshey? Cha nel eh,,
79,Vel Colby ny smoo danjeyragh na Purt ny h-Inshey?,,
80,Vel Dalby ny smoo dree na Colby? Cha nel mee shickyr,,
81,Vel Purt ny h-Inshey ny smoo tarroogh na Purt le Moirrey? Er-lhiams dy vel eh,,
82,Vel yn jiass ny share na'n twoaie?,,
83,S'mie lhiam Purt ny h-Inshey as s'mie lhiam shiaulley ,,
84,S'mie lhiam Purt ny h-Inshey as s'mie lhiam loayrt Gaelg,,
85,S'mie lhiam cummal ayns Purt ny h-Inshey er y fa dy vel eh aalin ,,
86,Ta Purt ny h-Inshey feer aalin, Peel is very beautiful ,
87,S'mie lhiam snaue agh cha nel mee geearree snaue nish ,,
88,S'mie lhiam Colby agh share lhiam Purt ny h-Inshey er y fa dy vel eh feer aalin,,
89,S'mie lhiam yn baatey shoh , I like this boat ,
90,Nagh vel yn baatey shoh yindyssagh? , Isn't this boat wonderful? ,
91,Mie lhiat yn baatey shoh? , Do you like this boat? ,
92,S'mie lhiam yn traie ayns Purt ny h-Inshey, , 
93,S'mie lhiam yn traie ayns Purt ny h-Inshey. Nagh vel eh yindyssagh?,,
94,S'mie lhiam gee kay-riojey shocklaid er y traie ayns Purt ny h-Inshey,, 
95,S'mie lhiam curree agh share lhiam kay riojey shocklaid,,
96,Nagh vel eh yindyssagh gee kay riojey er y traie ayns Purt ny h-Inshey,,
97,By vie lhiat kay riojey? , Would you like an ice cream? ,
98,Ren mee goll dys Doolish Jesarn , I went to Douglas on Saturday ,
99,Ren mee goll dys thie-bee ayns Doolish Jedoonee,,
100,Ren mee goll dys yn thie-tashtee ayns Doolish Jelune ,,
101,Ren mee goll dys yn thie-fillym ayns Doolish Jemayrt , I went to the cinema in Douglas on Jemayrt,
102,Ren mee goll dys yn thie-ellyn ayns Doolish Jecrean ,,
103,Ren mee goll thie-caffee ayns Doolish Jerdein,,
104,Ren mee goll shappal ayns Doolish Jeheiney,,
105,Ren mee gynsaghey ram Gaelg Jesarn as Jedoonee,,
106,Cre'n laa ren oo gynsaghey Gaelg? ,,
107,Cre oddys oo jannoo ayns Rhumsaa?,,
