Set,Audio_ID,Source,Description,Speaker,Gender,Duration (s)
04_Ynsaghey,1113,learn_manx_app_files,Skee Tired,,,1.25
04_Ynsaghey,2113,learn_manx_app_files,Feayr Cold,,,1.03
04_Ynsaghey,4113,learn_manx_app_files,Keoie ,,,0.86
04_Ynsaghey,4187,https://www.learnmanx.com/media/Dictionary%20-%20Animals/apag%20-%20monkey%20.mp3,apag monkey ,,,0.91
04_Ynsaghey,4191,https://www.learnmanx.com/media/Dictionary%20-%20Animals/arkan-sonney%20-%20hedgehog.mp3,arkan-sonney hedgehog,,,1.18
04_Ynsaghey,4195,https://www.learnmanx.com/media/Dictionary%20-%20Animals/ard-nieu%20-%20snake%20.mp3,ard-nieu snake ,,,0.94
04_Ynsaghey,4199,https://www.learnmanx.com/media/Dictionary%20-%20Animals/assyl%20-%20donkey.mp3,assyl donkey,,,0.89
04_Ynsaghey,4203,https://www.learnmanx.com/media/Dictionary%20-%20Animals/booa%20-%20cow.mp3,booa cow,,,0.81
04_Ynsaghey,4207,https://www.learnmanx.com/media/Dictionary%20-%20Animals/cabbyl%20-%20horse.mp3,cabbyl horse,,,0.91
04_Ynsaghey,4211,https://www.learnmanx.com/media/Dictionary%20-%20Animals/cabbylawin%20-%20hippo.mp3,cabbylawin hippo,,,1.49
04_Ynsaghey,4215,https://www.learnmanx.com/media/Dictionary%20-%20Animals/craitnag%20-%20bat.mp3,craitnag bat,,,1.02
04_Ynsaghey,4219,https://www.learnmanx.com/media/Dictionary%20-%20Animals/croggeeyl%20-%20crocodile.mp3,croggeeyl crocodile,,,1.1
04_Ynsaghey,4223,https://www.learnmanx.com/media/Dictionary%20-%20Animals/crammag%20-%20snail.mp3,crammag snail,,,0.86
04_Ynsaghey,4227,https://www.learnmanx.com/media/Dictionary%20-%20Animals/crooag-heeidey%20-%20silkworm.mp3,crooag-heeidey silkworm,,,1.28
04_Ynsaghey,4231,https://www.learnmanx.com/media/Dictionary%20-%20Animals/dhiane%20-%20worm.mp3,dhiane worm,,,1.31
